"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","alpha_per_cm","n","theta_r_cm3_per_cm3","theta_s_cm3_per_cm3","flag_HYPROP"
"61049","15","BTM","61049_15_BTM",,,,,"Data_Not_Available"
"61049","16","BTM","61049_16_BTM",,,,,"Data_Not_Available"
"61049","18","BTM","61049_18_BTM",,,,,"Data_Not_Available"
"61049","20","BTM","61049_20_BTM","0.0098","1.313","0","0.506",
"61049","21","BTM","61049_21_BTM",,,,,"Insufficient_Material"
"61051","1","BTM","61051_1_BTM",,,,,"Data_Not_Available"
"61051","2","BTM","61051_2_BTM",,,,,"Data_Not_Available"
"61051","3","BTM","61051_3_BTM",,,,,"Data_Not_Available"
"61051","4","BTM","61051_4_BTM",,,,,"Data_Not_Available"
"61051","5","BTM","61051_5_BTM",,,,,"Data_Not_Available"
"61051","6","BTM","61051_6_BTM",,,,,"Data_Not_Available"
"61051","7","BTM","61051_7_BTM",,,,,"Data_Not_Available"
"61051","8","BTM","61051_8_BTM",,,,,"Data_Not_Available"
"61051","9","BTM","61051_9_BTM",,,,,"Data_Not_Available"
"61078","2","BTM","61078_2_BTM","0.00641","1.175","0","0.44",
"61078","5","BTM","61078_5_BTM","0.5","1.128","0","0.406",
"61078","7","BTM","61078_7_BTM","0.0237","1.151","0","0.311",
"61078","8","BTM","61078_8_BTM","0.00723","1.203","0","0.418",
"61079","1","BTM","61079_1_BTM",,,,,"Insufficient_Material"
"61079","2","BTM","61079_2_BTM",,,,,"Insufficient_Material"
"61079","3","BTM","61079_3_BTM",,,,,"Insufficient_Material"
"61079","4","BTM","61079_4_BTM",,,,,"Insufficient_Material"
"61079","5","BTM","61079_5_BTM",,,,,"Insufficient_Material"
"61079","6","BTM","61079_6_BTM",,,,,"Insufficient_Material"
"61079","7","BTM","61079_7_BTM",,,,,"Insufficient_Material"
"61079","8","BTM","61079_8_BTM",,,,,"Insufficient_Material"
"61079","9","BTM","61079_9_BTM",,,,,"Insufficient_Material"
"61086","2","BTM","61086_2_BTM","0.00016","1.681","0","0.564",
"61086","3","BTM","61086_3_BTM","0.00212","1.188","0","0.5",
"61086","4","BTM","61086_4_BTM","0.00299","1.272","0","0.446",
"61086","5","BTM","61086_5_BTM","0.00869","1.189","0","0.392",
"61086","6","BTM","61086_6_BTM","0.00168","1.25","0","0.444",
"61090","1","BTM","61090_1_BTM","0.0176","1.352","0","0.508",
"61090","4","BTM","61090_4_BTM","0.0103","1.313","0","0.617",
"61090","5","BTM","61090_5_BTM","0.00939","1.351","0","0.563",
"61093","1","BTM","61093_1_BTM","0.00287","1.307","0","0.663",
"61093","2","BTM","61093_2_BTM","0.0097","1.266","0","0.628",
"61093","3","BTM","61093_3_BTM","0.00639","1.279","0","0.868",
"61093","4","BTM","61093_4_BTM","0.00115","1.358","0","0.798",
"61093","7","BTM","61093_7_BTM",,,,,"Insufficient_Material"
"61104","1","BTM","61104_1_BTM",,,,,"Data_Not_Available"
"61104","2","BTM","61104_2_BTM",,,,,"Data_Not_Available"
"61111","1","BTM","61111_1_BTM","0.1722","1.141","0","0.482",
"61111","2","BTM","61111_2_BTM","0.0179","1.14","0","0.545",
"61111","3","BTM","61111_3_BTM","0.00289","1.261","0","0.517",
"61111","4","BTM","61111_4_BTM","0.0278","1.149","0","0.558",
"61111","5","BTM","61111_5_BTM",,,,,"Insufficient_Material"
"61111","6","BTM","61111_6_BTM",,,,,"Insufficient_Material"
"61111","7","BTM","61111_7_BTM","0.00924","1.202","0","0.539",
"61115","1","BTM","61115_1_BTM","0.0014","1.324","0","0.593",
"61115","2","BTM","61115_2_BTM","0.00053","1.422","0","0.479",
"61115","3","BTM","61115_3_BTM","0.0017","1.335","0","0.689",
"61115","4","BTM","61115_4_BTM","0.0273","1.325","0","0.461",
"61115","5","BTM","61115_5_BTM","0.00423","1.208","0","0.495",
"61115","6","BTM","61115_6_BTM","0.00225","1.239","0","0.53",
"61251","5","BTM","61251_5_BTM","0.0213","1.322","0","0.416",
"61254","1","BTM","61254_1_BTM",,,,,"Data_Not_Available"
"61254","2","BTM","61254_2_BTM",,,,,"Data_Not_Available"
"61254","3","BTM","61254_3_BTM",,,,,"Data_Not_Available"
"61254","4","BTM","61254_4_BTM",,,,,"Data_Not_Available"
"61254","5","BTM","61254_5_BTM",,,,,"Data_Not_Available"
"61254","6","BTM","61254_6_BTM",,,,,"Data_Not_Available"
"61254","7","BTM","61254_7_BTM",,,,,"Data_Not_Available"
"61254","8","BTM","61254_8_BTM",,,,,"Data_Not_Available"
"61254","9","BTM","61254_9_BTM",,,,,"Data_Not_Available"
"61255","7","BTM","61255_7_BTM",,,,,"Data_Not_Available"
"61257","1","BTM","61257_1_BTM","0.00141","1.218","0","0.485",
"61257","2","BTM","61257_2_BTM","0.1524","1.178","0","0.525",
"61257","4","BTM","61257_4_BTM","0.0785","1.166","0","0.434",
"61257","5","BTM","61257_5_BTM","0.0658","1.196","0","0.492",
"61257","7","BTM","61257_7_BTM","0.0572","1.173","0","0.46",
"61257","8","BTM","61257_8_BTM","0.0997","1.223","0","0.455",
"61257","9","BTM","61257_9_BTM","0.115","1.152","0","0.504",
"61258","1","BTM","61258_1_BTM",,,,,"Data_Not_Available"
"61258","2","BTM","61258_2_BTM","0.5","1.13","0","0.526",
"61258","3","BTM","61258_3_BTM","0.5","1.162","0","0.552",
"61258","4","BTM","61258_4_BTM","0.2845","1.132","0","0.54",
"61258","5","BTM","61258_5_BTM","0.2232","1.133","0","0.526",
"61343","6","BTM","61343_6_BTM",,,,,"Data_Not_Available"
"61389","10","BTM","61389_10_BTM","0.0695","1.22","0","0.718",
"61389","11","BTM","61389_11_BTM","0.0385","1.166","0","0.484",
"61389","12","BTM","61389_12_BTM","0.00382","1.221","0","0.412",
"61389","13","BTM","61389_13_BTM","0.00341","1.23","0","0.525",
"61389","14","BTM","61389_14_BTM","0.00391","1.327","0","0.401",
"61389","15","BTM","61389_15_BTM","0.0134","1.229","0","0.358",
"61389","16","BTM","61389_16_BTM","0.0295","1.171","0","0.397",
"61389","17","BTM","61389_17_BTM","0.00555","1.222","0","0.444",
"61389","19","BTM","61389_19_BTM","0.0176","1.206","0","0.398",
"61389","2","BTM","61389_2_BTM","0.0129","1.196","0","0.426",
"61389","20","BTM","61389_20_BTM","0.00455","1.247","0","0.384",
"61389","21","BTM","61389_21_BTM","0.00117","1.321","0","0.595",
"61389","22","BTM","61389_22_BTM","0.0136","1.192","0","0.477",
"61389","23","BTM","61389_23_BTM","0.00127","1.374","0","0.835",
"61389","24","BTM","61389_24_BTM","0.0136","1.2","0","0.406",
"61389","3","BTM","61389_3_BTM","0.00342","1.278","0","0.541",
"61389","4","BTM","61389_4_BTM","0.00245","1.438","0","0.425",
"61389","5","BTM","61389_5_BTM","0.0031","1.218","0","0.472",
"61389","6","BTM","61389_6_BTM",,,,,"Data_Not_Available"
"61389","7","BTM","61389_7_BTM","0.0174","1.177","0","0.424",
"61389","8","BTM","61389_8_BTM","0.00358","1.316","0","0.297",
"61389","9","BTM","61389_9_BTM","0.00096","1.481","0","0.405",
"61412","1","BTM","61412_1_BTM","0.00871","1.273","0","0.706",
"61412","2","BTM","61412_2_BTM","0.00353","1.271","0","0.746",
"61412","3","BTM","61412_3_BTM","0.0697","1.148","0","0.759",
"61412","4","BTM","61412_4_BTM","0.00378","1.313","0","0.77",
"61412","5","BTM","61412_5_BTM","0.00452","1.264","0","0.762",
"61412","7","BTM","61412_7_BTM","0.1692","1.181","0","0.423",
"61412","9","BTM","61412_9_BTM","0.00287","1.262","0","0.257",
"61414","1","BTM","61414_1_BTM",,,,,"Data_Not_Available"
"61414","2","BTM","61414_2_BTM",,,,,"Data_Not_Available"
"61414","3","BTM","61414_3_BTM",,,,,"Data_Not_Available"
"61414","4","BTM","61414_4_BTM",,,,,"Data_Not_Available"
"61414","5","BTM","61414_5_BTM",,,,,"Data_Not_Available"
"61414","6","BTM","61414_6_BTM",,,,,"Data_Not_Available"
"61414","7","BTM","61414_7_BTM",,,,,"Data_Not_Available"
"61414","8","BTM","61414_8_BTM",,,,,"Data_Not_Available"
"61414","9","BTM","61414_9_BTM",,,,,"Data_Not_Available"
"61418","1","BTM","61418_1_BTM","0.00484","1.264","0","0.662",
"61418","2","BTM","61418_2_BTM","0.00579","1.335","0","0.699",
"61418","3","BTM","61418_3_BTM","0.00936","1.236","0","0.76",
"61418","4","BTM","61418_4_BTM","0.0229","1.258","0","0.699",
"61418","5","BTM","61418_5_BTM","0.00641","1.273","0","0.683",
"61418","6","BTM","61418_6_BTM","0.4636","1.125","0","0.509",
"61418","7","BTM","61418_7_BTM","0.00474","1.222","0","0.581",
"61418","8","BTM","61418_8_BTM","0.00892","1.279","0","0.821",
"61418","9","BTM","61418_9_BTM","0.00479","1.279","0","0.834",
"61419","1","BTM","61419_1_BTM","0.0328","1.201","0","0.6",
"61419","2","BTM","61419_2_BTM","0.00769","1.268","0","0.487",
"61419","3","BTM","61419_3_BTM","0.0196","1.288","0","0.433",
"61419","4","BTM","61419_4_BTM","0.00104","1.354","0","0.479",
"61419","5","BTM","61419_5_BTM","0.00864","1.406","0","0.766",
"61419","6","BTM","61419_6_BTM",,,,,"Insufficient_Material"
"61419","7","BTM","61419_7_BTM","0.0318","1.339","0","0.963",
"61419","8","BTM","61419_8_BTM","0.00843","1.308","0","0.912",
"61419","9","BTM","61419_9_BTM","0.0254","1.174","0","0.601",
"61551","1","BTM","61551_1_BTM",,,,,"Insufficient_Material"
"61551","2","BTM","61551_2_BTM","0.1004","1.152","0","0.61",
"61551","3","BTM","61551_3_BTM","0.1256","1.141","0","0.633",
"61551","4","BTM","61551_4_BTM","0.1819","1.177","0","0.676",
"61551","5","BTM","61551_5_BTM","0.217","1.128","0","0.562",
"61551","6","BTM","61551_6_BTM","0.0129","1.231","0","0.698",
"61551","7","BTM","61551_7_BTM","0.0227","1.172","0","0.627",
"61551","8","BTM","61551_8_BTM","0.4631","1.119","0","0.639",
"61552","1","BTM","61552_1_BTM","0.00222","1.285","0","0.536",
"61552","2","BTM","61552_2_BTM","0.00119","1.456","0","0.575",
"61552","3","BTM","61552_3_BTM","0.00103","1.431","0","0.549",
"61552","4","BTM","61552_4_BTM","0.00462","1.247","0","0.473",
"61552","5","BTM","61552_5_BTM","0.00066","1.669","0","0.549",
"61552","6","BTM","61552_6_BTM","0.00055","1.505","0","0.528",
"61552","7","BTM","61552_7_BTM","0.00136","1.315","0","0.537",
"61552","8","BTM","61552_8_BTM","0.00111","1.42","0","0.461",
"61555","1","BTM","61555_1_BTM",,,,,"Data_Not_Available"
"61555","2","BTM","61555_2_BTM",,,,,"Data_Not_Available"
"61555","3","BTM","61555_3_BTM",,,,,"Data_Not_Available"
"61555","4","BTM","61555_4_BTM",,,,,"Data_Not_Available"
"61555","5","BTM","61555_5_BTM",,,,,"Data_Not_Available"
"61555","6","BTM","61555_6_BTM",,,,,"Data_Not_Available"
"61555","7","BTM","61555_7_BTM",,,,,"Data_Not_Available"
"61555","8","BTM","61555_8_BTM",,,,,"Data_Not_Available"
"61555","9","BTM","61555_9_BTM",,,,,"Data_Not_Available"
