KO	Pathway	61049_11_BTM	61049_11_TOP	61049_2_BTM	61049_2_TOP	61049_3_BTM	61049_3_TOP
K01183	Amino sugar degradation	96	44	57	79	57	41
K01443	Amino sugar degradation	159	109	223	190	122	138
K02564	Amino sugar degradation	110	55	157	118	76	63
K07106	Amino sugar degradation	177	92	229	203	100	101
K00055	Aromatic compound degradation	123	91	145	153	94	86
K00141	Aromatic compound degradation	111	74	98	127	133	131
K00446	Aromatic compound degradation	167	118	187	225	96	90
K00448	Aromatic compound degradation	145	88	141	130	111	123
K00449	Aromatic compound degradation	204	113	227	216	141	155
K00462	Aromatic compound degradation	9	9	19	21	2	4
K01055	Aromatic compound degradation	692	508	766	735	500	490
K01617	Aromatic compound degradation	41	35	70	84	27	27
K01666	Aromatic compound degradation	72	49	33	64	37	40
K01821	Aromatic compound degradation	339	276	451	472	142	142
K01856	Aromatic compound degradation	27	10	51	57	18	18
K02554	Aromatic compound degradation	90	44	74	92	44	51
K03381	Aromatic compound degradation	149	90	91	159	67	75
K03464	Aromatic compound degradation	66	35	59	73	37	38
K04073	Aromatic compound degradation	62	43	27	46	32	36
K04102	Aromatic compound degradation	208	101	260	328	41	38
K07104	Aromatic compound degradation	200	131	284	174	331	302
K07537	Aromatic compound degradation	34	70	104	35	16	4
K07538	Aromatic compound degradation	0	13	0	1	0	0
K07539	Aromatic compound degradation	0	20	2	0	0	0
K07543	Aromatic compound degradation	23	4	41	18	3	0
K07544	Aromatic compound degradation	51	7	64	46	3	2
K07546	Aromatic compound degradation	47	18	35	42	5	1
K07550	Aromatic compound degradation	17	6	21	8	1	1
K10216	Aromatic compound degradation	84	58	93	109	103	85
K10217	Aromatic compound degradation	47	48	72	59	43	49
K10617	Aromatic compound degradation	5	3	4	7	8	7
K10621	Aromatic compound degradation	42	7	34	36	1	4
K10622	Aromatic compound degradation	9	5	10	12	5	10
K14578	Aromatic compound degradation	26	6	32	36	12	6
K14727	Aromatic compound degradation	24	11	12	22	29	32
K15750	Aromatic compound degradation	17	2	21	19	3	6
K18067	Aromatic compound degradation	3	3	20	23	0	0
K18068	Aromatic compound degradation	84	45	158	164	21	12
K18087	Aromatic compound degradation	12	11	12	24	4	0
K18364	Aromatic compound degradation	25	15	21	19	10	13
K00022	Lipid degradaton	61	45	50	54	64	58
K00057	Lipid degradaton	253	207	326	306	194	167
K00111	Lipid degradaton	296	203	328	303	259	276
K00112	Lipid degradaton	12	8	22	6	14	13
K00113	Lipid degradaton	22	18	46	29	26	27
K00249	Lipid degradaton	2333	1271	2256	2220	1058	989
K00255	Lipid degradaton	135	59	64	72	59	64
K00632	Lipid degradaton	925	685	1066	850	745	680
K00864	Lipid degradaton	692	507	712	636	706	709
K00901	Lipid degradaton	92	69	148	112	88	81
K01046	Lipid degradaton	141	90	85	109	78	58
K01692	Lipid degradaton	2394	1502	2154	2120	1185	1127
K01782	Lipid degradaton	219	120	203	278	111	101
K06445	Lipid degradaton	9	7	18	29	1	1
K07508	Lipid degradaton	71	49	86	61	49	52
K07511	Lipid degradaton	105	76	104	87	63	64
K07513	Lipid degradaton	95	87	90	65	64	71
K07514	Lipid degradaton	16	6	15	16	4	4
K07516	Lipid degradaton	310	234	474	423	157	149
K09478	Lipid degradaton	16	12	10	12	9	5
K09479	Lipid degradaton	20	29	21	22	33	23
K13767	Lipid degradaton	55	39	65	86	12	14
K00260	Protein degradation	37	40	72	22	44	31
K00261	Protein degradation	271	256	594	278	401	292
K00262	Protein degradation	41	84	62	40	75	76
K00453	Protein degradation	156	74	186	152	153	145
K01270	Protein degradation	0	21	2	2	0	2
K01271	Protein degradation	192	144	361	215	140	124
K01274	Protein degradation	12	7	12	10	18	13
K01277	Protein degradation	3	4	21	7	0	0
K01278	Protein degradation	61	64	124	95	34	26
K01281	Protein degradation	0	0	0	2	9	4
K01302	Protein degradation	53	52	156	109	23	19
K01322	Protein degradation	226	166	348	290	142	125
K01338	Protein degradation	548	436	878	658	422	319
K01342	Protein degradation	10	7	17	9	38	34
K01354	Protein degradation	226	199	325	323	176	154
K01358	Protein degradation	889	670	858	710	1030	1034
K01392	Protein degradation	26	13	50	47	14	15
K01414	Protein degradation	21	10	37	37	3	3
K04076	Protein degradation	1	21	10	7	2	3
K04771	Protein degradation	491	390	797	660	245	230
K05995	Protein degradation	75	45	59	79	151	133
K05996	Protein degradation	3	0	2	0	26	17
K07387	Protein degradation	4	2	7	2	1	1
K08656	Protein degradation	19	10	20	18	16	11
K08669	Protein degradation	36	26	41	44	37	46
K08675	Protein degradation	105	99	129	100	119	121
K08784	Protein degradation	5	10	13	4	6	4
K08785	Protein degradation	7	4	10	6	4	4
K08955	Protein degradation	51	42	57	32	71	63
K15371	Protein degradation	110	86	75	84	104	100
K16922	Protein degradation	24	11	12	26	24	26
K20742	Protein degradation	18	33	14	19	16	24
K10533	Unsaturated hydrocarbon degradation	105	69	110	85	6	11
K14733	Unsaturated hydrocarbon degradation	94	50	116	147	15	20